document_title,document_number,action,publication_date,pdf_url,abstract,excerpts,topics,dates,page_length,start_page,end_page,significant,agency_names,agency_ids,agency_urls,agency_parent_ids,agency_slugs,cfr_titles,cfr_parts
"Uniform Administrative Requirements, Cost Principles, and Audit Requirements",2020-28429,Guidance.,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28429.pdf,"This document announces the availability of the 2020 Compliance Supplement Addendum (2020 Addendum) for the Office of Management and Budget's uniform administrative requirements, cost principles, and audit requirements regulations. This document also offers interested parties an opportunity to comment on the 2020 Addendum.","This document announces the availability of the 2020 Compliance Supplement Addendum (2020 Addendum) for the Office of Management and Budget's uniform administrative requirements, cost principles, and audit requirements regulations. This document also...",,"The 2020 Addendum serves as a complement to the 2020 Compliance Supplement published on August 18, 2020 (FR Doc. 2020-17987) and applies to fiscal year audits beginning after June 30, 2019.",1,86793,86793,,Management and Budget Office,280,https://www.federalregister.gov/agencies/management-and-budget-office,None,management-and-budget-office,2,200
Notification of Inflation Adjustments for Civil Money Penalties,2020-28942,Notification of monetary penalties 2021.,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28942.pdf,"The Office of the Comptroller of the Currency (OCC) is providing notice of its maximum civil money penalties as adjusted for inflation. The inflation adjustments are required to implement the Federal Civil Penalties Inflation Adjustment Act of 1990, as amended by the Federal Civil Penalties Inflation Adjustment Act Improvements Act of 2015.","The Office of the Comptroller of the Currency (OCC) is providing notice of its maximum civil money penalties as adjusted for inflation. The inflation adjustments are required to implement the Federal Civil Penalties Inflation Adjustment Act of 1990, as...",,"The adjusted maximum amount of civil money penalties in this document are applicable to penalties assessed on or after January 1, 2021, for conduct occurring on or after November 2, 2015.",3,86795,86797,,"Treasury Department, Comptroller of the Currency","497, 80","https://www.federalregister.gov/agencies/treasury-department, https://www.federalregister.gov/agencies/comptroller-of-the-currency","None, 497","treasury-department, comptroller-of-the-currency","12, 12","19, 109"
The Public Musical Works Database and Transparency of the Mechanical Licensing Collective,2020-28958,Interim rule.,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28958.pdf,"The U.S. Copyright Office is issuing an interim rule regarding the Musical Works Modernization Act, title I of the Orrin G. Hatch-Bob Goodlatte Music Modernization Act. The law establishes a new blanket compulsory license that will be administered by a mechanical licensing collective, which will make available a public musical works database as part of its statutory duties. Having solicited public comments through previous notifications of inquiry and a notice of proposed rulemaking, the Office is issuing interim regulations prescribing categories of information to be included in the public musical works database, as well as rules related to the usability, interoperability, and usage restrictions of the database. The Office is also issuing interim regulations related to ensuring appropriate transparency of the mechanical licensing collective itself.","The U.S. Copyright Office is issuing an interim rule regarding the Musical Works Modernization Act, title I of the Orrin G. Hatch-Bob Goodlatte Music Modernization Act. The law establishes a new blanket compulsory license that will be administered by a...","Copyright, Recordings, Recordings","Effective February 16, 2021.",22,86803,86824,,"Library of Congress, Copyright Office, Library of Congress","277, 87","https://www.federalregister.gov/agencies/library-of-congress, https://www.federalregister.gov/agencies/copyright-office-library-of-congress","None, 277","library-of-congress, copyright-office-library-of-congress",37,210
Prioritization and Allocation of Certain Scarce and Critical Health and Medical Resources for Domestic Use,2020-29060,Temporary final rule; extension of effective date with modifications.,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-29060.pdf,"In April, the Federal Emergency Management Agency (FEMA) issued a temporary final rule to allocate certain health and medical resources for domestic use, so that these resources may not be exported from the United States without explicit approval by FEMA. The rule covered five types of personal protective equipment (PPE), outlined below. While this rule remains in effect, and subject to certain exemptions stated below, no shipments of such designated materials may leave the United States without explicit approval by FEMA. In August, FEMA modified the types of PPE covered and extended the duration of the temporary rule. Through this action, FEMA again extends and modifies the temporary final rule designating the list of scarce and critical materials that cannot be exported from the United States without explicit approval by FEMA.","In April, the Federal Emergency Management Agency (FEMA) issued a temporary final rule to allocate certain health and medical resources for domestic use, so that these resources may not be exported from the United States without explicit approval by...","Administrative practice and procedure, Business and industry, Government contracts, Investigations, National defense, Strategic and critical materials","Effective date: This rule is effective from December 31, 2020 until June 30, 2021.",9,86835,86843,,"Homeland Security Department, Federal Emergency Management Agency","227, 166","https://www.federalregister.gov/agencies/homeland-security-department, https://www.federalregister.gov/agencies/federal-emergency-management-agency","None, 227","homeland-security-department, federal-emergency-management-agency",44,328
Fisheries of the Northeastern United States; Increase in Sector Carryover of 2019 Annual Catch Entitlements and Carryover of Unused Leased-In Days-at-Sea by Common Pool Vessels,2020-28898,Temporary rule; emergency action.,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28898.pdf,This temporary rule implements emergency measures under the authority of the Magnuson-Stevens Fishery Conservation and Management Act to revise portions of the fishing year 2019 carryover provisions in the Northeast Multispecies Fishery Management Plan into fishing year 2020. This action is necessary to address an emergency presenting conservation and management plans to the fishery. This action is intended to mitigate economic harm to the Northeast multispecies fishery participants by providing the opportunity to use sector Annual Catch Entitlement and unused leased-in Days-at-Sea that would have otherwise may have gone unused.,This temporary rule implements emergency measures under the authority of the Magnuson-Stevens Fishery Conservation and Management Act to revise portions of the fishing year 2019 carryover provisions in the Northeast Multispecies Fishery Management Plan...,"Fisheries, Fishing, Reporting and recordkeeping requirements","This action is effective December 31, 2020, through June 29, 2021. Comments must be received by February 1, 2021.",5,86849,86853,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",50,648
Fisheries Off West Coast States; Coastal Pelagic Species Fisheries; Harvest Specifications for the Central Subpopulation of Northern Anchovy,2020-28901,Final rule.,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28901.pdf,"NMFS issues this final rule to revise the annual reference points, including the overfishing limit (OFL), acceptable biological catch (ABC) and annual catch limit (ACL), for the central subpopulation of northern anchovy in the U.S. exclusive economic zone off the west coast under the Coastal Pelagic Species Fishery Management Plan. NMFS prepared this rulemaking in response to a September 2020 court decision (Oceana, Inc. v. Ross et al.) that vacated the OFL, ABC, and ACL for the central subpopulation of northern anchovy and ordered NMFS to promulgate a new rule in compliance with the Magnuson-Stevens Fishery Conservation and Management Act and Administrative Procedure Act. NMFS is implementing an OFL of 119,153 metric tons (mt), an ABC of 29,788 mt, and an ACL of 25,000 mt. If the ACL for this stock is reached or projected to be reached, then fishing will be closed until it reopens at the start of the next fishing season. This rule is intended to conserve and manage the central subpopulation of northern anchovy off the U.S. West Coast.","NMFS issues this final rule to revise the annual reference points, including the overfishing limit (OFL), acceptable biological catch (ABC) and annual catch limit (ACL), for the central subpopulation of northern anchovy in the U.S. exclusive economic...","Fisheries, Fishing, Indians, Recreation and recreation areas, Reporting and recordkeeping requirements, Treaties","Effective February 1, 2021.",11,86855,86865,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",50,660
Fisheries of the Exclusive Economic Zone Off Alaska; Pacific Cod in the Gulf of Alaska,2020-28967,Temporary rule; modification of closure.,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28967.pdf,NMFS is opening directed fishing for Pacific cod by various sectors in the Gulf of Alaska (GOA). This action is necessary to fully use the 2021 total allowable catch (TAC) of Pacific cod in the GOA.,NMFS is opening directed fishing for Pacific cod by various sectors in the Gulf of Alaska (GOA). This action is necessary to fully use the 2021 total allowable catch (TAC) of Pacific cod in the GOA.,,"Effective 0001 hours, Alaska local time (A.l.t.), January 1, 2021 through 2400 hours, A.l.t., December 31, 2021. Comments must be received at the following address no later than 4:30 p.m., A.l.t., January 15, 2021.",2,86865,86866,,"Commerce Department, National Oceanic and Atmospheric Administration","54, 361","https://www.federalregister.gov/agencies/commerce-department, https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration","None, 54","commerce-department, national-oceanic-and-atmospheric-administration",50,679
Joint Petition For Rulemaking-Annual Revenue Adequacy Determinations,2020-28864,Petition for rulemaking.,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28864.pdf,The Surface Transportation Board (Board or STB) opens a rulemaking proceeding to consider a petition by several Class I railroads to change the Board's procedures for annually determining whether Class I rail carriers are revenue adequate. The Board seeks public comment on the petition and several specific related issues.,The Surface Transportation Board (Board or STB) opens a rulemaking proceeding to consider a petition by several Class I railroads to change the Board's procedures for annually determining whether Class I rail carriers are revenue adequate. The Board...,,"Comments are due March 1, 2021; replies are due March 31, 2021.",3,86876,86878,,Surface Transportation Board,481,https://www.federalregister.gov/agencies/surface-transportation-board,None,surface-transportation-board,49,None
Summer Food Service Program; 2021 Reimbursement Rates,2020-29093,Notice.,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-29093.pdf,"This notice informs the public of the annual adjustments to the reimbursement rates for meals served in the Summer Food Service Program for Children. These adjustments address changes in the Consumer Price Index, as required under the Richard B. Russell National School Lunch Act. The 2021 reimbursement rates are presented as a combined set of rates to highlight simplified cost accounting procedures. The 2021 rates are also presented individually, as separate operating and administrative rates of reimbursement, to show the effect of the Consumer Price Index adjustment on each rate.","This notice informs the public of the annual adjustments to the reimbursement rates for meals served in the Summer Food Service Program for Children. These adjustments address changes in the Consumer Price Index, as required under the Richard B....",,"Implemented January 1, 2021.",2,86901,86902,,"Agriculture Department, Food and Nutrition Service","12, 200","https://www.federalregister.gov/agencies/agriculture-department, https://www.federalregister.gov/agencies/food-and-nutrition-service","None, 12","agriculture-department, food-and-nutrition-service",,
Agenda and Notice of Public Meeting of the New Jersey Advisory Committee,2020-28908,Announcement of meeting.,2020-12-31,https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28908.pdf,"Notice is hereby given, pursuant to the provisions of the rules and regulations of the U.S. Commission on Civil Rights (Commission), and the Federal Advisory Committee Act (FACA), that a planning meeting of the New Jersey Advisory Committee to the Commission will convene by conference call, on Friday, January 22, 2021 at 1:00 p.m. (ET). The purpose of the meeting is continued project about civil rights project on the collateral consequences that a criminal record has on criminal asset forfeitures and access to employment, especially occupational licensing.","Notice is hereby given, pursuant to the provisions of the rules and regulations of the U.S. Commission on Civil Rights (Commission), and the Federal Advisory Committee Act (FACA), that a planning meeting of the New Jersey Advisory Committee to the...",,"Friday, January 22, 2021, at 1:00 p.m. (ET).",2,86902,86903,,Civil Rights Commission,52,https://www.federalregister.gov/agencies/civil-rights-commission,None,civil-rights-commission,,
